天数 结余 购买 工作中 cpuRatio ramRatio addcnt delcnt
0 2391081 2391081 48 0.196591 0.251088 142 0
1 4530546 2139465 92 0.177592 0.213451 147 0
2 6269224 1738678 127 0.155385 0.192933 131 6
3 8442293 2173069 169 0.144986 0.163501 156 1
4 10369452 1927159 206 0.131806 0.160847 132 2
5 12372390 2002938 249 0.134636 0.154102 140 3
6 14024032 1651642 280 0.135553 0.152144 121 7
7 15670614 1646582 312 0.130766 0.142357 133 10
8 17853242 2182628 353 0.130581 0.141381 145 12
9 19844561 1991319 390 0.129123 0.147534 131 12
10 21158826 1314265 415 0.126594 0.145464 125 24
11 22616728 1457902 441 0.12471 0.152852 111 18
12 24200077 1583349 472 0.119815 0.144211 132 19
13 25546836 1346759 498 0.123848 0.144611 119 23
14 27354240 1807404 531 0.127206 0.15769 121 29
15 28934837 1580597 559 0.127424 0.155521 122 29
16 30231104 1296267 583 0.126399 0.149423 116 27
17 31357843 1126739 605 0.126001 0.150388 114 26
18 32789192 1431349 629 0.126459 0.151124 113 19
19 33859546 1070354 651 0.123804 0.147932 119 23
20 35197281 1337735 678 0.124448 0.147941 119 28
21 36427202 1229921 702 0.119847 0.142879 130 26
22 37565421 1138219 723 0.119991 0.138056 114 27
23 38675911 1110490 744 0.118803 0.133129 118 26
24 40218921 1543010 773 0.12162 0.133841 127 33
25 41386326 1167405 794 0.117849 0.132009 115 25
26 42891561 1505235 822 0.117433 0.130526 126 26
27 44211482 1319921 847 0.121076 0.134884 95 24
28 45557233 1345751 873 0.121775 0.129208 132 28
29 47163462 1606229 901 0.128616 0.130897 125 37
30 48755125 1591663 934 0.125172 0.126712 143 21
31 50172342 1417217 962 0.127099 0.126849 116 21
32 51590471 1418129 989 0.123366 0.126572 132 27
33 52793124 1202653 1011 0.12108 0.123819 123 26
34 54047674 1254550 1037 0.121346 0.12264 122 28
35 55185875 1138201 1057 0.121501 0.124863 107 28
36 55994959 809084 1073 0.119391 0.121887 101 28
37 57249249 1254290 1096 0.120653 0.122325 119 32
38 58523788 1274539 1119 0.123661 0.122606 115 42
39 59655929 1132141 1138 0.12295 0.123252 111 42
40 60759058 1103129 1156 0.122014 0.121627 114 35
41 61894852 1135794 1179 0.125565 0.123927 128 55
42 63328446 1433594 1207 0.128999 0.125285 128 54
43 64093000 764554 1221 0.129523 0.125834 114 59
44 65114779 1021779 1240 0.128358 0.124781 116 46
45 66297592 1182813 1263 0.130453 0.134122 102 49
46 67498761 1201169 1286 0.131643 0.135995 114 47
47 68177927 679166 1298 0.132635 0.135869 101 57
48 69109435 931508 1314 0.131129 0.135459 121 58
49 70202545 1093110 1333 0.132344 0.134701 121 50
50 71131475 928930 1348 0.130999 0.134098 112 43
51 72419805 1288330 1373 0.131429 0.136197 114 48
52 74025149 1605344 1404 0.13186 0.137095 137 47
